0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:11:18 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:11:18 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:11:18 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:12:45 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:12:45 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:12:45 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:14:38 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:14:38 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:14:38 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:28 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:28 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:28 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:29 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:29 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:29 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:29 -0300] "GET /RuteAr/rest/realizadas/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:29 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:29 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:32 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:32 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:17:32 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:18:30 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:18:30 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:18:30 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:19:12 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:19:12 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:19:12 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:21:52 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:21:52 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:21:52 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:22:33 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:22:33 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:22:33 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:23:25 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:23:25 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:23:25 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:23:48 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:23:48 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:23:48 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:33:40 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:33:40 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:33:40 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:35:47 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:35:47 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:35:47 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:36:27 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:36:27 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:36:27 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:36:50 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:36:50 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:36:50 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:38:38 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:38:38 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:38:38 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:40:06 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:40:06 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
